id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
7,5,0.1,10000,3575411,1050758,263718,28603320,0,0,3575412,3575412
3,4,0.1,1000000,1918598,1107527,312081,28618392,0,0,3577296,3577296
8,5,0.05,1000000,941345,1626944,576371,28618392,0,0,3577296,3577296
7,4,0.1,10000,973741,2196335,377064,28602776,0,0,3575344,3575344
4,6,0.2,100000,1178761,1804526,933687,28177448,0,0,3522178,3522178
id,val,epsilon,univ,rank,2078388,922592,28618392,0,0,2,3577296
7,4,0.01,100000,1162874,2347581,665749,28617720,0,0,3577212,3577212
3,5,0.2,10000,1215818,2640875,563249,28603320,0,0,3575412,3575412
0,5,0.2,10000,2946016,2967192,721209,28603320,0,0,3575412,3575412
3,0,0.1,100000,67102,3674122,105929,2114328,0,0,172430,264288
9,0,0.2,10000,10322,4296247,950,192152,0,0,24016,24016
0,5,0.01,100000,1082144,3650627,833559,28617888,0,0,3577233,3577233
6,0,0.2,10000,10322,4157133,1054,192152,0,0,24016,24016
4,6,0.05,1000000,1942447,3185707,1415422,28412664,0,0,3551580,3551580
9,7,0.01,10000,1149864,3419137,756091,24744088,0,0,3093008,3093008
1,4,0.2,100000,1677330,3640383,740568,28617720,0,0,3577212,3577212
7,4,0.1,10000,396349,3656644,941738,28602776,0,0,3575344,3575344
3,3,0.1,100000,3577295,4180734,456307,28618392,0,0,3577296,3577296
7,0,0.1,100000,67102,3920124,54532,2114328,0,0,172430,264288
7,5,0.2,100000,2608931,3825635,658330,28617888,0,0,3577233,3577233
0,5,0.2,100000,2608931,4046405,793994,28617888,0,0,3577233,3577233
4,7,0.01,10000,2327872,4163133,862116,24744088,0,0,3093008,3093008
5,4,0.01,1000000,712605,3813450,669350,28618392,0,0,3577296,3577296
6,4,0.05,1000000,1832097,4323875,770656,28618392,0,0,3577296,3577296
4,5,0.2,1000000,3577295,4251513,936843,28618392,0,0,3577296,3577296
0,7,0.2,10000,1666939,4172907,851152,24744088,0,0,3093008,3093008
0,5,0.2,100000,1072953,4421047,567856,28617888,0,0,3577233,3577233
1,5,0.05,10000,2970122,4537864,762196,28603320,0,0,3575412,3575412
5,3,0.2,1000000,2859158,4746589,544168,28618392,0,0,3577296,3577296
9,0,0.05,10000,6334,4653604,970,192152,0,0,15072,24016
8,6,0.05,100000,373852,4434019,1005674,28177448,0,0,3522178,3522178
1,3,0.05,1000000,3395752,4483039,685386,28618392,0,0,3577296,3577296
9,7,0.01,1000000,1771731,4135613,740761,28248248,0,0,3531028,3531028
0,5,0.05,100000,941344,4550700,835200,28617888,0,0,3577233,3577233
2,3,0.1,1000000,3216888,4341765,513576,28618392,0,0,3577296,3577296
0,3,0.1,100000,3216888,4721355,586482,28618392,0,0,3577296,3577296
7,6,0.1,10000,857685,4562089,1139852,27125304,0,0,3390660,3390660
5,6,0.2,10000,3018440,4958925,913061,27125304,0,0,3390660,3390660
4,7,0.1,10000,1614536,4923333,689316,24744088,0,0,3093008,3093008
