id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,weight
6,5,0.01,10000,9999,601737,80155,28603320,0,0,3575410,3575412
8,4,0.1,100000,49999,600676,78779,28617720,0,0,3576994,3577212
4,4,0.1,100000,16666,604233,80160,28617720,0,0,3576197,3577212
1,0,0.01,100000,12499,614075,9512,2114328,0,0,29808,264288
5,6,0.2,100000,16666,612691,114447,28177448,0,0,3452021,3522178
7,7,0.05,100000,49999,621742,107252,27368832,0,0,3355711,3421101
4,4,0.01,10000,2499,611556,77703,28602776,0,0,3566981,3575344
3,4,0.2,10000,2499,614747,79351,28602776,0,0,3566981,3575344
8,6,0.01,100000,12499,629431,115336,28177448,0,0,3421797,3522178
7,4,0.05,1000000,166666,603437,79165,28618392,0,0,3577276,3577296
2,0,0.01,100000,12499,618190,9524,2114328,0,0,29808,264288
2,3,0.2,10000,9999,595186,36606,28618392,0,0,3577296,3577296
0,6,0.1,10000,1249,616390,106983,27125304,0,0,2454402,3390660
7,7,0.2,1000000,124999,618418,111585,28248248,0,0,3435561,3531028
0,0,0.05,1000000,124999,624056,90091,18716496,0,0,315016,2339559
2,4,0.05,1000000,499999,606490,79549,28618392,0,0,3577296,3577296
1,5,0.05,1000000,499999,608700,77777,28618392,0,0,3577294,3577296
2,5,0.05,1000000,999999,623793,78881,28618392,0,0,3577296,3577296
9,3,0.01,1000000,499999,604616,37610,28618392,0,0,3577296,3577296
4,5,0.1,100000,12499,610849,81650,28617888,0,0,3575864,3577233
5,6,0.2,1000000,249999,619498,116704,28412664,0,0,3531027,3551580
8,4,0.2,100000,16666,603824,79630,28617720,0,0,3576197,3577212
6,6,0.05,10000,1249,622986,106089,27125304,0,0,2454402,3390660
8,6,0.2,1000000,999999,616261,116735,28412664,0,0,3551580,3551580
9,3,0.05,100000,12499,603675,37186,28618392,0,0,3577296,3577296
0,3,0.1,1000000,166666,627564,37512,28618392,0,0,3577296,3577296
5,3,0.05,1000000,249999,606581,38039,28618392,0,0,3577296,3577296
8,3,0.05,100000,16666,611999,36821,28618392,0,0,3577296,3577296
7,4,0.01,10000,4999,602879,78592,28602776,0,0,3572608,3575344
2,4,0.05,100000,12499,606367,78909,28617720,0,0,3575751,3577212
6,4,0.05,10000,2499,602181,77709,28602776,0,0,3566981,3575344
7,7,0.01,1000000,999999,622610,114904,28248248,0,0,3531028,3531028
1,0,0.01,1000000,124999,629866,90645,18716496,0,0,315016,2339559
9,0,0.2,1000000,499999,621721,90848,18716496,0,0,1216912,2339559
8,4,0.01,100000,16666,606702,81041,28617720,0,0,3576197,3577212
