id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,weight
1,0,0.01,100000,12499,990287,14625,2114328,0,0,29808,264288
6,5,0.01,10000,9999,982489,132890,28603320,0,0,3575410,3575412
7,7,0.05,100000,49999,1101192,297737,27368832,0,0,3355711,3421101
4,4,0.1,100000,16666,1308820,168064,28617720,0,0,3576197,3577212
3,4,0.2,10000,2499,1248806,342341,28602776,0,0,3566981,3575344
7,4,0.05,1000000,166666,1509944,338517,28618392,0,0,3577276,3577296
4,4,0.01,10000,2499,1515752,364615,28602776,0,0,3566981,3575344
8,4,0.1,100000,49999,1540354,470824,28617720,0,0,3576994,3577212
2,3,0.2,10000,9999,1638934,388543,28618392,0,0,3577296,3577296
2,0,0.01,100000,12499,2649636,98745,2114328,0,0,29808,264288
6,6,0.05,10000,1249,2012570,385365,27125304,0,0,2454402,3390660
8,6,0.01,100000,12499,2377639,495760,28177448,0,0,3421797,3522178
2,4,0.05,1000000,499999,2453095,442813,28618392,0,0,3577296,3577296
7,7,0.2,1000000,124999,2265349,916758,28248248,0,0,3435561,3531028
5,6,0.2,100000,16666,2545825,847680,28177448,0,0,3452021,3522178
0,0,0.05,1000000,124999,2367333,968064,18716496,0,0,315016,2339559
0,6,0.1,10000,1249,2630455,811032,27125304,0,0,2454402,3390660
8,4,0.2,100000,16666,2756805,341446,28617720,0,0,3576197,3577212
9,3,0.05,100000,12499,2774228,254844,28618392,0,0,3577296,3577296
4,5,0.1,100000,12499,2651456,609347,28617888,0,0,3575864,3577233
5,6,0.2,1000000,249999,2880891,457216,28412664,0,0,3531027,3551580
8,6,0.2,1000000,999999,2958906,505323,28412664,0,0,3551580,3551580
2,4,0.05,100000,12499,2736916,570001,28617720,0,0,3575751,3577212
8,3,0.05,100000,16666,3170384,381549,28618392,0,0,3577296,3577296
1,5,0.05,1000000,499999,3405430,691980,28618392,0,0,3577294,3577296
8,4,0.2,10000,1666,2747587,567614,28602776,0,0,3558302,3575344
6,4,0.05,10000,2499,2985285,537910,28602776,0,0,3566981,3575344
2,5,0.05,1000000,999999,3349202,950211,28618392,0,0,3577296,3577296
9,0,0.2,100000,16666,3086123,74452,2114328,0,0,50808,264288
0,3,0.1,1000000,166666,3910670,361703,28618392,0,0,3577296,3577296
9,3,0.01,1000000,499999,4202893,457794,28618392,0,0,3577296,3577296
7,7,0.01,1000000,999999,3340218,730922,28248248,0,0,3531028,3531028
9,6,0.1,1000000,499999,3089363,789162,28412664,0,0,3539237,3551580
1,0,0.01,1000000,124999,3517917,722914,18716496,0,0,315016,2339559
4,5,0.1,10000,1666,3637090,551862,28603320,0,0,3556388,3575412
4,6,0.05,100000,49999,3397572,750842,28177448,0,0,3509476,3522178
5,3,0.05,1000000,249999,4302745,561592,28618392,0,0,3577296,3577296
7,4,0.1,1000000,499999,3222642,400864,28618392,0,0,3577296,3577296
3,6,0.2,10000,2499,3699688,618972,27125304,0,0,2899338,3390660
7,0,0.05,10000,9999,4587225,968,192152,0,0,24013,24016
0,0,0.1,10000,2499,4491768,937,192152,0,0,5916,24016
7,4,0.01,10000,4999,4924453,905023,28602776,0,0,3572608,3575344
6,6,0.2,10000,9999,4431224,878114,27125304,0,0,3390637,3390660
7,3,0.05,100000,24999,3435778,478156,28618392,0,0,3577296,3577296
9,3,0.1,1000000,166666,4105815,359323,28618392,0,0,3577296,3577296
0,3,0.05,100000,12499,4698925,446002,28618392,0,0,3577296,3577296
9,4,0.1,100000,16666,4501659,709588,28617720,0,0,3576197,3577212
2,3,0.05,100000,24999,5193073,511589,28618392,0,0,3577296,3577296
6,4,0.01,100000,12499,3857641,779840,28617720,0,0,3575751,3577212
8,4,0.01,100000,16666,5411788,915991,28617720,0,0,3576197,3577212
9,3,0.1,100000,16666,5285749,502647,28618392,0,0,3577296,3577296
9,4,0.1,10000,9999,4575859,635765,28602776,0,0,3575342,3575344
9,0,0.1,10000,4999,4428551,51060,192152,0,0,12041,24016
6,0,0.01,10000,9999,5190078,974,192152,0,0,24013,24016
0,0,0.05,100000,24999,5700325,64457,2114328,0,0,79057,264288
2,0,0.05,10000,1666,5774262,928,192152,0,0,3957,24016
8,7,0.1,100000,16666,5449014,1020807,27368832,0,0,3203628,3421101
9,0,0.2,1000000,499999,5864043,975589,18716496,0,0,1216912,2339559
3,4,0.01,1000000,124999,5888111,844181,28618392,0,0,3577251,3577296
4,7,0.1,10000,1666,5446945,876918,24744088,0,0,2428904,3093008
3,3,0.05,10000,2499,4443774,381661,28618392,0,0,3577296,3577296
5,5,0.01,10000,2499,4897196,947036,28603320,0,0,3564911,3575412
9,3,0.05,1000000,166666,4137432,421867,28618392,0,0,3577296,3577296
2,4,0.2,10000,4999,4640062,662293,28602776,0,0,3572608,3575344
5,5,0.2,100000,12499,5530231,647432,28617888,0,0,3575864,3577233
3,4,0.2,10000,1249,4385379,716622,28602776,0,0,3547660,3575344
2,6,0.2,100000,16666,4620399,856810,28177448,0,0,3452021,3522178
7,7,0.05,1000000,999999,4854483,1185542,28248248,0,0,3531028,3531028
0,0,0.1,1000000,249999,6263362,932316,18716496,0,0,611407,2339559
7,6,0.05,100000,12499,5377863,1014167,28177448,0,0,3421797,3522178
2,7,0.01,10000,2499,4709911,842019,24744088,0,0,2560434,3093008
0,0,0.2,10000,1666,4124851,940,192152,0,0,3957,24016
4,0,0.2,10000,4999,6516791,938,192152,0,0,12041,24016
4,3,0.2,10000,9999,6081357,479280,28618392,0,0,3577296,3577296
1,3,0.2,10000,1666,5116547,504192,28618392,0,0,3577296,3577296
3,4,0.01,100000,99999,3949604,670386,28617720,0,0,3577212,3577212
7,3,0.01,10000,9999,4877506,528153,28618392,0,0,3577296,3577296
