id,target,epsilon,delta,tempo_inicio,tempo_fim,prediction
2,8,0.1,0.1,Sun Jul 25 20:11:29 -03 2021,Sun Jul 25 20:11:30 -03 2021,82
17,0,0.1,0.1,Sun Jul 25 20:11:31 -03 2021,Sun Jul 25 20:11:33 -03 2021,1576725
1,7,0.3,0.05,Sun Jul 25 20:11:34 -03 2021,Sun Jul 25 20:11:35 -03 2021,223387
13,7,0.3,0.1,Sun Jul 25 20:11:36 -03 2021,Sun Jul 25 20:11:37 -03 2021,194625
3,1,0.3,0.05,Sun Jul 25 20:11:38 -03 2021,Sun Jul 25 20:11:40 -03 2021,6148
17,1,0.2,0.01,Sun Jul 25 20:11:41 -03 2021,Sun Jul 25 20:11:42 -03 2021,6989
10,1,0.2,0.05,Sun Jul 25 20:11:43 -03 2021,Sun Jul 25 20:11:45 -03 2021,5430
14,1,0.2,0.05,Sun Jul 25 20:11:46 -03 2021,Sun Jul 25 20:11:47 -03 2021,5543
7,1,0.1,0.01,Sun Jul 25 20:11:48 -03 2021,Sun Jul 25 20:11:50 -03 2021,6735
10,8,0.3,0.01,Sun Jul 25 20:11:51 -03 2021,Sun Jul 25 20:11:52 -03 2021,86
19,7,0.1,0.05,Sun Jul 25 20:11:53 -03 2021,Sun Jul 25 20:11:54 -03 2021,214294
1,1,0.2,0.1,Sun Jul 25 20:11:55 -03 2021,Sun Jul 25 20:11:57 -03 2021,6548
15,0,0.4,0.05,Sun Jul 25 20:11:58 -03 2021,Sun Jul 25 20:11:59 -03 2021,2007192
19,1,0.1,0.05,Sun Jul 25 20:12:00 -03 2021,Sun Jul 25 20:12:01 -03 2021,5824
6,7,0.1,0.05,Sun Jul 25 20:12:02 -03 2021,Sun Jul 25 20:12:04 -03 2021,229233
13,1,0.2,0.01,Sun Jul 25 20:12:05 -03 2021,Sun Jul 25 20:12:06 -03 2021,5877
16,1,0.2,0.01,Sun Jul 25 20:12:07 -03 2021,Sun Jul 25 20:12:09 -03 2021,6123
19,0,0.3,0.1,Sun Jul 25 20:12:10 -03 2021,Sun Jul 25 20:12:11 -03 2021,1162757
18,1,0.3,0.01,Sun Jul 25 20:12:12 -03 2021,Sun Jul 25 20:12:14 -03 2021,8745
6,7,0.2,0.01,Sun Jul 25 20:12:15 -03 2021,Sun Jul 25 20:12:17 -03 2021,282728
14,0,0.1,0.1,Sun Jul 25 20:12:18 -03 2021,Sun Jul 25 20:12:19 -03 2021,1624571
14,8,0.2,0.01,Sun Jul 25 20:12:20 -03 2021,Sun Jul 25 20:12:22 -03 2021,81
15,7,0.3,0.05,Sun Jul 25 20:12:23 -03 2021,Sun Jul 25 20:12:24 -03 2021,208017
8,8,0.3,0.01,Sun Jul 25 20:12:25 -03 2021,Sun Jul 25 20:12:27 -03 2021,64
5,7,0.4,0.1,Sun Jul 25 20:12:28 -03 2021,Sun Jul 25 20:12:29 -03 2021,197467
19,0,0.4,0.01,Sun Jul 25 20:12:30 -03 2021,Sun Jul 25 20:12:32 -03 2021,1470788
0,7,0.4,0.01,Sun Jul 25 20:12:33 -03 2021,Sun Jul 25 20:12:34 -03 2021,196557
3,1,0.1,0.01,Sun Jul 25 20:12:35 -03 2021,Sun Jul 25 20:12:37 -03 2021,6602
5,7,0.4,0.05,Sun Jul 25 20:12:38 -03 2021,Sun Jul 25 20:12:39 -03 2021,209083
1,8,0.3,0.05,Sun Jul 25 20:12:40 -03 2021,Sun Jul 25 20:12:42 -03 2021,86
19,7,0.3,0.01,Sun Jul 25 20:12:43 -03 2021,Sun Jul 25 20:12:44 -03 2021,210919
8,1,0.1,0.05,Sun Jul 25 20:12:45 -03 2021,Sun Jul 25 20:12:47 -03 2021,6180
7,7,0.1,0.01,Sun Jul 25 20:12:48 -03 2021,Sun Jul 25 20:12:49 -03 2021,217061
18,7,0.1,0.01,Sun Jul 25 20:12:50 -03 2021,Sun Jul 25 20:12:52 -03 2021,220818
13,0,0.1,0.05,Sun Jul 25 20:12:53 -03 2021,Sun Jul 25 20:12:54 -03 2021,1551352
13,8,0.1,0.01,Sun Jul 25 20:12:55 -03 2021,Sun Jul 25 20:12:57 -03 2021,77
18,8,0.1,0.05,Sun Jul 25 20:12:58 -03 2021,Sun Jul 25 20:12:59 -03 2021,86
18,0,0.4,0.1,Sun Jul 25 20:13:00 -03 2021,Sun Jul 25 20:13:02 -03 2021,1273219
3,0,0.2,0.1,Sun Jul 25 20:13:03 -03 2021,Sun Jul 25 20:13:04 -03 2021,1381840
19,7,0.2,0.05,Sun Jul 25 20:13:05 -03 2021,Sun Jul 25 20:13:06 -03 2021,212607
0,0,0.2,0.01,Sun Jul 25 20:13:07 -03 2021,Sun Jul 25 20:13:09 -03 2021,1516654
3,8,0.2,0.1,Sun Jul 25 20:13:10 -03 2021,Sun Jul 25 20:13:11 -03 2021,83
15,7,0.2,0.01,Sun Jul 25 20:13:12 -03 2021,Sun Jul 25 20:13:14 -03 2021,200221
0,1,0.4,0.05,Sun Jul 25 20:13:15 -03 2021,Sun Jul 25 20:13:16 -03 2021,7931
9,8,0.3,0.1,Sun Jul 25 20:13:17 -03 2021,Sun Jul 25 20:13:18 -03 2021,71
16,8,0.1,0.01,Sun Jul 25 20:13:19 -03 2021,Sun Jul 25 20:13:21 -03 2021,77
16,0,0.4,0.1,Sun Jul 25 20:13:22 -03 2021,Sun Jul 25 20:13:23 -03 2021,1133630
7,7,0.2,0.05,Sun Jul 25 20:13:24 -03 2021,Sun Jul 25 20:13:26 -03 2021,235015
19,8,0.2,0.05,Sun Jul 25 20:13:27 -03 2021,Sun Jul 25 20:13:28 -03 2021,88
16,7,0.2,0.1,Sun Jul 25 20:13:29 -03 2021,Sun Jul 25 20:13:30 -03 2021,174077
5,7,0.3,0.01,Sun Jul 25 20:13:31 -03 2021,Sun Jul 25 20:13:33 -03 2021,220067
6,1,0.3,0.1,Sun Jul 25 20:13:34 -03 2021,Sun Jul 25 20:13:35 -03 2021,5098
7,7,0.4,0.05,Sun Jul 25 20:13:36 -03 2021,Sun Jul 25 20:13:37 -03 2021,205062
1,7,0.2,0.01,Sun Jul 25 20:13:38 -03 2021,Sun Jul 25 20:13:40 -03 2021,270090
15,7,0.2,0.1,Sun Jul 25 20:13:41 -03 2021,Sun Jul 25 20:13:42 -03 2021,199050
4,0,0.4,0.01,Sun Jul 25 20:13:43 -03 2021,Sun Jul 25 20:13:45 -03 2021,1609541
9,0,0.2,0.01,Sun Jul 25 20:13:46 -03 2021,Sun Jul 25 20:13:48 -03 2021,1356067
11,7,0.4,0.1,Sun Jul 25 20:13:49 -03 2021,Sun Jul 25 20:13:50 -03 2021,245132
9,8,0.4,0.1,Sun Jul 25 20:13:51 -03 2021,Sun Jul 25 20:13:52 -03 2021,87
