id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,rank
3,4,0.1,1000000,0.5,628563,1,624,46957,23,5,1918598
7,4,0.1,10000,0.25,634005,1,600,47274,23,2,973741
7,5,0.1,10000,1.0,628702,1,240,17673,23,10000,3575411
4,6,0.2,100000,0.25,624886,0,168,52,22,12,1178761
8,5,0.05,1000000,0.25,742969,1,840,458984,23,1,941345
0,5,0.01,100000,0.25,2855506,1,10200,1836870,23,1,1082144
3,5,0.2,10000,0.0,614484,0,312,316,23,1,1215818
4,6,0.05,1000000,0.5,681065,0,504,213470,23,485,1942447
5,6,0.2,10000,0.75,628077,1,168,56,22,1664,3018440
9,0,0.2,10000,0.0,619212,2,168,13283,23,3210,10322
3,0,0.1,100000,0.25,621752,1,984,122827,23,16780,67102
7,4,0.01,100000,0.25,2918497,1,10200,1895435,23,2,1162874
4,7,0.01,10000,0.75,2148354,2,8376,1399236,23,1164,2327872
7,6,0.1,10000,0.25,636970,1,216,20351,23,6,857685
0,5,0.2,10000,0.75,618788,1,312,316,23,13,2946016
3,3,0.1,100000,1.0,1282162,1,2112,2861767,23,17,3577295
6,4,0.05,1000000,0.5,751335,1,960,520169,23,6,1832097
8,6,0.05,100000,0.0,693634,2,480,234314,23,0,373852
4,5,0.2,1000000,1.0,629202,1,168,261,23,542196,3577295
1,5,0.05,10000,0.75,786808,0,840,451213,23,19,2970122
6,7,0.01,10000,0.5,2182005,1,8376,1399236,23,36,1605542
0,5,0.2,100000,0.75,627214,1,288,277,23,8,2608931
7,4,0.1,10000,0.0,640861,1,600,47274,23,1,396349
6,7,0.05,100000,1.0,846018,1,1752,865530,23,29300,3358873
5,3,0.2,1000000,0.5,899052,1,1080,2152038,23,6,2859158
8,7,0.01,10000,0.75,2160563,2,8376,1399236,23,1164,2327872
0,5,0.05,100000,0.25,745473,0,840,451585,23,1,941344
7,4,0.1,100000,0.25,638431,1,648,46973,23,2,973741
4,7,0.1,10000,0.5,724423,2,816,572654,23,36,1614536
0,7,0.2,10000,0.25,650119,1,144,53989,23,4,1666939
6,0,0.2,10000,0.0,626548,1,168,13283,23,3210,10322
1,4,0.2,100000,0.0,614285,1,144,52,22,3,1677330
0,5,0.2,100000,0.25,627380,1,288,277,23,1,1072953
9,7,0.01,10000,0.25,2148260,1,8376,1399236,23,0,1149864
1,3,0.05,1000000,0.25,1993591,1,4200,3219150,23,6,3395752
0,3,0.1,100000,0.25,1271016,1,2112,2861767,23,6,3216888
7,5,0.2,100000,0.75,629344,1,288,277,23,8,2608931
0,6,0.05,100000,0.25,723519,2,480,234314,23,12,1028499
1,5,0.05,10000,0.25,750653,1,840,451213,23,1,941468
1,5,0.05,1000000,0.75,743959,1,840,458984,23,19,2970122
8,4,0.2,100000,0.75,622043,0,144,52,22,9,2866617
5,4,0.01,1000000,0.0,2912874,1,10752,1895217,23,1,712605
9,7,0.01,1000000,0.5,2043372,2,8112,1375496,23,185,1771731
7,0,0.1,100000,0.25,626109,1,984,122827,23,16780,67102
9,0,0.05,10000,0.25,622148,1,432,13317,23,2393,6334
6,3,0.01,10000,0.0,7062424,2,19272,3504348,23,6,3538840
2,3,0.1,1000000,0.0,1265612,1,2112,2861767,23,6,3216888
7,4,0.05,100000,0.0,764420,1,984,521997,23,1,569746
7,4,0.05,10000,0.75,770356,1,984,523495,23,15,2778730
1,4,0.05,10000,0.0,758645,1,984,523495,23,1,569838
5,5,0.2,1000000,0.5,623535,1,168,261,23,2,1599628
0,6,0.05,100000,1.0,691253,0,480,234314,23,99995,3522177
5,4,0.05,100000,0.5,752815,1,984,521997,23,6,1832094
8,7,0.1,1000000,1.0,713786,1,768,478743,23,22220,3392804
3,6,0.2,100000,0.25,628896,1,168,52,22,12,1178761
9,3,0.2,100000,0.75,906824,1,1080,2152038,23,6,2859158
2,6,0.05,100000,1.0,687846,1,480,234314,23,99995,3522177
4,0,0.01,100000,0.75,656597,1,2760,136081,23,79830,201306
9,0,0.1,10000,0.25,616813,1,240,13290,23,1665,5087
1,0,0.2,10000,1.0,617382,1,168,13283,23,9128,22917
1,4,0.01,100000,1.0,2951956,1,10200,1895435,23,99738,3577211
9,5,0.05,10000,0.0,742528,1,840,451213,23,0,406273
9,6,0.1,100000,1.0,640139,1,216,21720,23,99995,3522177
4,3,0.2,1000000,0.25,897844,0,1080,2152038,23,6,2859158
4,5,0.2,1000000,0.0,624144,0,168,261,23,2,1599628
2,6,0.05,10000,0.0,705129,1,1344,295231,23,0,381288
7,3,0.05,10000,0.5,2004096,1,4200,3219150,23,6,3395752
1,3,0.1,100000,0.5,1293128,0,2112,2861767,23,6,3216888
9,7,0.1,10000,1.0,721581,1,816,572654,23,10000,3093007
3,4,0.01,10000,0.75,2929299,2,10752,1902000,23,15,2690337
6,6,0.2,1000000,1.0,630033,1,168,33,21,999896,3551579
4,3,0.2,10000,1.0,900504,1,1080,2152038,23,17,3577295
7,4,0.1,100000,0.5,644096,2,648,46973,23,5,1918598
9,7,0.2,1000000,0.25,632296,1,144,6642,23,6,1763586
4,4,0.2,10000,0.25,621458,1,144,58,22,3,1677330
3,4,0.1,10000,0.25,646773,2,600,47274,23,2,973741
8,5,0.05,10000,0.0,749265,1,840,451213,23,0,406273
6,0,0.1,1000000,0.25,672608,1,264,1230864,23,179957,589780
6,0,0.2,1000000,1.0,654299,1,168,1224979,23,912165,2225557
4,6,0.1,100000,1.0,643822,1,216,21720,23,99995,3522177
3,3,0.05,100000,0.75,1990481,2,4200,3219150,23,6,3395752
8,0,0.1,10000,0.5,625180,1,240,13290,23,4115,11260
7,3,0.1,1000000,0.75,1274321,1,2112,2861767,23,6,3216888
6,6,0.2,100000,0.75,629150,1,168,52,22,1405,3023632
1,5,0.1,100000,0.0,638072,1,240,16402,23,1,855922
1,3,0.2,1000000,0.25,902897,1,1080,2152038,23,6,2859158
7,3,0.05,1000000,0.25,1990994,1,4200,3219150,23,6,3395752
3,6,0.2,1000000,0.25,623951,0,168,33,21,12,1463483
5,5,0.05,10000,0.25,740089,1,840,451213,23,1,941468
2,6,0.2,10000,0.75,627933,1,168,56,22,1664,3018440
0,5,0.05,10000,0.5,738523,0,840,451213,23,6,1987465
3,5,0.01,1000000,0.25,2838077,1,10320,1835851,23,1,1082143
5,5,0.05,10000,1.0,741057,1,840,451213,23,10000,3575411
8,6,0.2,10000,1.0,627772,1,168,56,22,10000,3390659
0,0,0.01,10000,1.0,618860,1,1872,13613,23,10000,24015
7,0,0.05,100000,0.0,625513,1,2064,125529,23,7131,27050
6,4,0.2,10000,0.75,618132,1,144,58,22,9,2865683
8,6,0.05,10000,1.0,701310,1,1344,295231,23,6028,3333095
