id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
4,4,0.1,100000,16666,891014,0,648,46973,23,3269213
0,6,0.1,10000,1249,864375,0,216,20351,23,2591995
8,4,0.1,100000,49999,927991,0,648,46973,23,3269213
1,0,0.01,100000,12499,954935,1,2760,136081,23,32127
3,4,0.2,10000,2499,1263975,1,144,58,22,2865683
2,0,0.01,100000,12499,1270301,1,2760,136081,23,32127
7,4,0.05,1000000,166666,1306498,0,960,520169,23,3493284
7,7,0.2,1000000,124999,1335778,1,144,6642,23,2938482
0,0,0.05,1000000,124999,1673534,1,408,1241820,23,252671
5,6,0.2,100000,16666,2089704,1,168,52,22,3023632
7,7,0.05,100000,49999,2435265,1,1752,865530,23,3358873
2,3,0.2,10000,9999,2833833,0,1080,2152038,23,3577295
5,6,0.2,1000000,249999,2524373,0,168,33,21,3189091
9,0,0.2,1000000,499999,2102440,1,168,1224979,23,1005800
8,4,0.2,100000,16666,2629211,1,144,52,22,2866617
4,5,0.1,100000,12499,2837205,1,240,16402,23,3268954
6,6,0.05,10000,1249,2772183,0,1344,295231,23,2478007
1,5,0.05,1000000,499999,3123938,0,840,458984,23,3450360
4,5,0.1,10000,1666,2593008,0,240,17673,23,3268044
2,4,0.05,1000000,499999,3627555,0,960,520169,23,3577295
9,6,0.1,1000000,499999,2694648,0,240,19941,23,3360932
8,6,0.2,1000000,999999,3403323,1,168,33,21,3551579
2,5,0.05,1000000,999999,3863395,1,840,458984,23,3577295
6,4,0.05,10000,2499,3403417,1,984,523495,23,3485855
2,4,0.05,100000,12499,3524913,0,984,521997,23,3493242
7,0,0.05,10000,9999,2986835,1,432,13317,23,23636
8,4,0.2,10000,1666,3484227,1,144,58,22,2865683
6,6,0.2,10000,9999,3387048,0,168,56,22,3018440
9,0,0.2,100000,16666,3381351,0,456,122135,23,41697
3,6,0.2,10000,2499,3343818,0,168,56,22,3018440
4,6,0.05,100000,49999,3759366,1,480,234314,23,3400742
4,7,0.1,10000,1666,3569842,0,816,572654,23,2579076
0,0,0.1,1000000,249999,3861290,0,264,1230864,23,589780
0,0,0.1,10000,2499,3671119,1,240,13290,23,5087
2,0,0.05,10000,1666,3754482,0,432,13317,23,3774
9,4,0.1,100000,16666,3754667,0,648,46973,23,3269213
8,7,0.1,100000,16666,4295139,1,768,499182,23,3092457
7,4,0.1,1000000,499999,3662189,0,624,46957,23,3577295
0,0,0.05,100000,24999,3963671,1,2064,125529,23,83625
8,5,0.1,10000,1666,3228362,0,240,17673,23,3268044
5,5,0.2,100000,12499,4144077,1,288,277,23,3099500
6,0,0.01,10000,9999,3896131,0,1872,13613,23,23804
4,0,0.2,10000,4999,3830216,0,168,13283,23,10322
9,4,0.1,10000,9999,4165798,1,600,47274,23,3268279
7,6,0.05,100000,12499,4495125,0,480,234314,23,3400742
4,5,0.1,1000000,999999,4022774,1,840,16343,23,3577295
3,4,0.2,10000,1249,4056972,0,144,58,22,2865683
0,6,0.05,1000000,124999,4929073,1,504,213470,23,3420962
9,0,0.1,10000,4999,4650720,1,240,13290,23,11260
2,4,0.2,10000,4999,4766499,0,144,58,22,2865683
2,6,0.2,100000,16666,4817135,0,168,52,22,3023632
1,0,0.01,1000000,124999,6968761,0,2472,1318592,23,332426
7,7,0.05,1000000,999999,5833293,0,1704,832354,23,3531027
6,5,0.1,10000,2499,4640300,0,240,17673,23,3268044
9,6,0.1,10000,4999,4830696,1,216,20351,23,3108631
6,5,0.2,10000,4999,4564640,0,312,316,23,2946016
0,0,0.2,10000,1666,5025735,0,168,13283,23,3832
3,6,0.05,10000,2499,6111599,1,1344,295231,23,2868680
5,6,0.05,10000,1249,5273144,0,1344,295231,23,2478007
4,3,0.2,10000,9999,7225423,0,1080,2152038,23,3577295
7,7,0.1,100000,16666,5738687,0,768,499182,23,3092457
5,6,0.2,1000000,124999,5403330,1,168,33,21,3189091
4,4,0.2,1000000,249999,5384668,0,144,50,22,2866659
9,4,0.05,100000,16666,6306533,1,984,521997,23,3493242
2,0,0.2,1000000,166666,5894459,0,168,1224979,23,374826
1,4,0.05,1000000,166666,6887617,1,960,520169,23,3493284
8,6,0.1,100000,16666,5672141,0,216,21720,23,3174390
9,6,0.1,1000000,249999,5084938,1,240,19941,23,3360932
8,6,0.01,100000,12499,10727245,0,4992,1118675,23,3396854
0,7,0.05,1000000,999999,7823184,1,1704,832354,23,3531027
3,6,0.1,10000,1249,5431469,0,216,20351,23,2591995
1,6,0.05,1000000,999999,6271686,0,504,213470,23,3551579
9,6,0.05,1000000,499999,5976141,1,504,213470,23,3420962
6,7,0.1,10000,9999,6822053,1,816,572654,23,2933085
0,3,0.1,1000000,166666,11426705,1,2112,2861767,23,3577295
1,3,0.2,10000,1666,8954032,1,1080,2152038,23,3577295
4,5,0.05,10000,1666,7489604,1,840,451213,23,3449418
6,0,0.1,100000,12499,6029377,1,984,122827,23,25659
3,7,0.1,100000,16666,7276763,1,768,499182,23,3092457
8,5,0.2,10000,1249,6391608,1,312,316,23,2946016
1,0,0.01,10000,2499,6370680,1,1872,13613,23,5977
