id,target,epsilon,delta,tempo_inicio,tempo_fim,prediction
2,8,0.1,0.1,Sun Jul 25 19:17:59 -03 2021,Sun Jul 25 19:18:00 -03 2021,79
17,0,0.1,0.1,Sun Jul 25 19:18:01 -03 2021,Sun Jul 25 19:18:02 -03 2021,1457768
1,7,0.3,0.05,Sun Jul 25 19:18:03 -03 2021,Sun Jul 25 19:18:04 -03 2021,222292
13,7,0.3,0.1,Sun Jul 25 19:18:05 -03 2021,Sun Jul 25 19:18:06 -03 2021,232105
3,1,0.3,0.05,Sun Jul 25 19:18:07 -03 2021,Sun Jul 25 19:18:08 -03 2021,5044
17,1,0.2,0.01,Sun Jul 25 19:18:09 -03 2021,Sun Jul 25 19:18:11 -03 2021,5877
10,1,0.2,0.05,Sun Jul 25 19:18:12 -03 2021,Sun Jul 25 19:18:13 -03 2021,7486
14,1,0.2,0.05,Sun Jul 25 19:18:14 -03 2021,Sun Jul 25 19:18:15 -03 2021,5874
7,1,0.1,0.01,Sun Jul 25 19:18:16 -03 2021,Sun Jul 25 19:18:17 -03 2021,6794
10,8,0.3,0.01,Sun Jul 25 19:18:18 -03 2021,Sun Jul 25 19:18:20 -03 2021,73
19,7,0.1,0.05,Sun Jul 25 19:18:21 -03 2021,Sun Jul 25 19:18:22 -03 2021,221838
1,1,0.2,0.1,Sun Jul 25 19:18:23 -03 2021,Sun Jul 25 19:18:24 -03 2021,5877
15,0,0.4,0.05,Sun Jul 25 19:18:25 -03 2021,Sun Jul 25 19:18:26 -03 2021,1014035
19,1,0.1,0.05,Sun Jul 25 19:18:27 -03 2021,Sun Jul 25 19:18:28 -03 2021,7317
6,7,0.1,0.05,Sun Jul 25 19:18:29 -03 2021,Sun Jul 25 19:18:30 -03 2021,224797
13,1,0.2,0.01,Sun Jul 25 19:18:31 -03 2021,Sun Jul 25 19:18:32 -03 2021,6779
16,1,0.2,0.01,Sun Jul 25 19:18:33 -03 2021,Sun Jul 25 19:18:34 -03 2021,6187
19,0,0.3,0.1,Sun Jul 25 19:18:35 -03 2021,Sun Jul 25 19:18:37 -03 2021,1406125
18,1,0.3,0.01,Sun Jul 25 19:18:38 -03 2021,Sun Jul 25 19:18:39 -03 2021,6148
