id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
2,3,0.2,10000,9999,32548823,3,192,17761,0,1384787
7,0,0.05,10000,9999,27084025,20,19208,85,0,1655878139
2,0,0.05,10000,1666,25436556,9,19208,85,0,2201437574
0,0,0.1,10000,2499,26748151,7,16616,171,0,999913583
9,3,0.01,1000000,499999,35487845,2,240,1789,0,3033671981
9,3,0.05,100000,12499,35254740,3,216,7702,0,4396897
0,3,0.1,1000000,166666,35163643,3,232,10519,0,1121205
4,0,0.2,10000,4999,25565143,13,16328,343,0,1556275943
8,3,0.05,100000,16666,35227164,3,216,7702,0,4404597
5,3,0.05,1000000,249999,37227547,3,240,8946,0,3776571191
9,0,0.1,10000,4999,27425520,11,16616,171,0,1671145458
9,3,0.1,100000,16666,36126514,3,216,18629,0,372010
6,0,0.01,10000,9999,34358601,27,37856,17,0,2779732145
2,3,0.05,100000,24999,38464924,4,216,7702,0,4404597
0,3,0.05,100000,12499,36940052,3,216,7702,0,4396897
4,3,0.2,10000,9999,35082600,3,192,17761,0,1384787
0,0,0.2,10000,1666,26295005,6,16328,343,0,3155662182
9,3,0.1,1000000,166666,36993267,2,232,10519,0,1121205
7,3,0.05,100000,24999,37745322,2,216,7702,0,4404597
3,3,0.05,10000,2499,37048445,3,192,12780,0,1150838887
1,3,0.2,10000,1666,36341744,2,192,17761,0,4022076665
2,3,0.1,10000,1249,36161269,3,192,20046,0,2706773160
7,3,0.01,10000,9999,36978886,2,192,2281,0,3422698
9,3,0.05,1000000,166666,38775871,3,240,8946,0,3776571191
1,3,0.05,100000,24999,38976099,2,216,7702,0,4404597
6,3,0.1,10000,1249,40054471,3,192,20046,0,2706773160
1,0,0.1,10000,2499,27916426,7,16616,171,0,999913583
1,3,0.01,10000,4999,36860240,3,192,2281,0,3420418
2,3,0.2,10000,1249,37589066,3,192,17761,0,4022076665
8,3,0.2,10000,1249,36906518,3,192,17761,0,4022076665
8,3,0.05,100000,12499,39184191,3,216,7702,0,4396897
3,3,0.01,10000,2499,40892071,2,192,2281,0,3418138
3,0,0.05,10000,9999,29171510,17,19208,85,0,1655878139
3,3,0.01,10000,1666,37322690,3,192,2281,0,3415858
2,3,0.01,1000000,166666,42235736,3,240,1789,0,3033670193
4,3,0.1,10000,1249,38039249,11,192,20046,0,2706773160
1,0,0.01,10000,2499,38873480,16,37856,17,0,1649755162
9,3,0.2,1000000,499999,43241403,3,224,17931,0,3262102350
6,0,0.2,10000,1666,29511938,6,16328,343,0,3155662182
1,0,0.05,10000,1666,30889911,14,19208,85,0,2201437574
7,3,0.2,1000000,499999,40765325,2,224,17931,0,3262102350
9,3,0.01,1000000,124999,41067866,2,240,1789,0,3033668405
3,0,0.1,10000,1249,29212485,6,16616,171,0,1102736965
2,3,0.1,1000000,124999,41121921,3,232,10519,0,421880554
3,3,0.1,100000,12499,44283946,2,216,18629,0,353387
9,3,0.2,10000,1666,43103552,2,192,17761,0,4022076665
4,3,0.1,1000000,249999,40992758,3,232,10519,0,1121205
5,3,0.01,10000,1249,39707639,3,192,2281,0,3415858
6,3,0.2,1000000,166666,43194523,3,224,17931,0,3262084419
2,3,0.01,10000,9999,39584592,2,192,2281,0,3422698
5,3,0.1,10000,9999,39781641,3,192,20046,0,801888958
4,3,0.05,10000,9999,40892835,3,192,12780,0,4279659312
0,3,0.05,100000,49999,45817005,2,216,7702,0,4412297
7,0,0.1,10000,4999,30888958,20,16616,171,0,1671145458
7,3,0.05,1000000,999999,43960740,3,240,8946,0,3776589077
9,3,0.05,1000000,249999,47761349,3,240,8946,0,3776571191
2,0,0.01,10000,2499,40306583,18,37856,17,0,1649755162
6,3,0.1,100000,49999,43570204,2,216,18629,0,390633
1,0,0.01,10000,1249,39627901,16,37856,17,0,1432234107
2,0,0.2,10000,9999,30625900,19,16328,343,0,1972269403
8,3,0.05,10000,4999,41909301,2,192,12780,0,4279646536
0,0,0.05,10000,2499,36533199,10,19208,85,0,121472822
6,3,0.01,100000,12499,44457008,3,216,2105,0,724711403
7,3,0.2,100000,99999,46098340,3,200,16939,0,1877615
1,3,0.2,100000,99999,44631732,2,200,16939,0,1877615
