id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
6,5,0.01,10000,9999,241277096,29,35808,3575411,0,3951833700
8,4,0.1,100000,49999,187533111,23,29824,3577212,0,1657801581
4,4,0.1,100000,16666,187839905,21,29824,3577212,0,887424885
1,0,0.01,100000,12499,104265516,34,198600,264287,0,4169952067
5,6,0.2,100000,16666,1302973811,103,151304,3522178,0,2930487522
7,7,0.05,100000,49999,1758670596,143,196656,3421101,0,496316779
4,4,0.01,10000,2499,211176670,17,33552,3575343,0,3227953313
3,4,0.2,10000,2499,213819045,17,33328,3575343,0,2785277301
8,6,0.01,100000,12499,1296859809,75,148696,3522178,0,2744128566
7,4,0.05,1000000,166666,115406190,16,20552,3577296,0,2758184439
2,0,0.01,100000,12499,102333717,34,198600,264287,0,4169952067
2,3,0.2,10000,9999,1878983,3,192,3577296,0,1004206004
0,6,0.1,10000,1249,786171587,11,107008,3390638,0,2534648917
7,7,0.2,1000000,124999,2005226485,118,227952,3531028,0,4072845311
0,0,0.05,1000000,124999,4124517590,141,955816,2339558,0,3401646196
2,4,0.05,1000000,499999,115297431,16,20552,3577296,0,784819844
1,5,0.05,1000000,499999,104942870,15,19736,3577296,0,182260113
2,5,0.05,1000000,999999,105684417,15,19736,3577296,0,924734844
9,3,0.01,1000000,499999,2179273,3,240,3577296,0,3675668561
4,5,0.1,100000,12499,199324662,20,30240,3577233,0,1755427424
5,6,0.2,1000000,249999,1186882217,101,147928,3551580,0,1379171447
8,4,0.2,100000,16666,189916227,19,30024,3577212,0,3006382743
6,6,0.05,10000,1249,780479530,12,104800,3390638,0,2613403742
8,6,0.2,1000000,999999,1190322951,126,147928,3551580,0,1207321184
9,3,0.05,100000,12499,2023932,2,216,3577296,0,3404157504
0,3,0.1,1000000,166666,2163529,3,240,3577296,0,3181199619
5,3,0.05,1000000,249999,2173902,3,240,3577296,0,2528301558
8,3,0.05,100000,16666,2025707,3,216,3577296,0,826015376
7,4,0.01,10000,4999,210218151,22,33552,3575343,0,1989655009
2,4,0.05,100000,12499,175458643,18,28832,3577212,0,244546732
6,4,0.05,10000,2499,205893699,17,32608,3575343,0,152526959
7,7,0.01,1000000,999999,1981928859,215,223296,3531028,0,2523676740
1,0,0.01,1000000,124999,4232974864,149,975800,2339558,0,1514286153
9,0,0.2,1000000,499999,4112049668,427,946824,2339558,0,391277610
8,4,0.01,100000,16666,188860538,21,29648,3577212,0,1413696648
4,5,0.1,10000,1666,225634413,14,34880,3575411,0,3586708874
