id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
6,5,0.01,10000,9999,3804623,4,2696,1399,0,1355015278
8,4,0.1,100000,49999,1847877,3,880,169,0,38279870
4,4,0.1,100000,16666,1872923,4,880,169,0,38258233
1,0,0.01,100000,12499,2507963,9,22080,1699,0,968019003
5,6,0.2,100000,16666,2592956,3,1368,84,0,1903624183
7,7,0.05,100000,49999,3535176,12,2536,339,0,3285114914
4,4,0.01,10000,2499,4157911,3,2616,1399,0,4264777261
3,4,0.2,10000,2499,1153072,4,464,69,0,3304719885
8,6,0.01,100000,12499,21058965,8,15872,1699,0,3094242755
7,4,0.05,1000000,166666,1765950,3,1040,399,0,3238306693
2,0,0.01,100000,12499,2508566,10,22080,1699,0,968019003
2,3,0.2,10000,9999,802308,3,144,73,0,4288169088
0,6,0.1,10000,1249,3124783,3,1872,139,0,2975839917
7,7,0.2,1000000,124999,1807218,3,848,99,0,3425202320
0,0,0.05,1000000,124999,4459698,5,5408,399,0,1015928717
2,4,0.05,1000000,499999,1746789,3,1040,399,0,3234641407
1,5,0.05,1000000,499999,2633561,3,1496,399,0,224371613
2,5,0.05,1000000,999999,2650993,3,1496,399,0,224380564
9,3,0.01,1000000,499999,915111,3,208,2004,0,4294117036
4,5,0.1,100000,12499,2273470,3,1056,169,0,534635501
5,6,0.2,1000000,249999,2019826,2,1248,99,0,331717250
8,4,0.2,100000,16666,1201480,3,512,84,0,2139057741
6,6,0.05,10000,1249,4477276,3,3216,279,0,3684527448
8,6,0.2,1000000,999999,2043377,3,1248,99,0,227547350
9,3,0.05,100000,12499,881973,3,184,345,0,4286727848
0,3,0.1,1000000,166666,902114,2,192,203,0,4274717437
5,3,0.05,1000000,249999,904085,3,208,404,0,4287243515
8,3,0.05,100000,16666,883048,2,184,345,0,4286043802
7,4,0.01,10000,4999,4132388,3,2616,1399,0,4264787360
2,4,0.05,100000,12499,1716517,3,992,339,0,4051387046
6,4,0.05,10000,2499,1826856,4,1008,279,0,2245350207
7,7,0.01,1000000,999999,19229354,8,15544,1999,0,3976718303
1,0,0.01,1000000,124999,84770108,22,82776,1999,0,2349614358
9,0,0.2,1000000,499999,10298636,7,9128,99,0,688639457
8,4,0.01,100000,16666,4132080,4,2752,1699,0,2135514076
4,5,0.1,10000,1666,1904404,3,856,139,0,278899838
8,4,0.2,10000,1666,1146347,3,464,69,0,3509225085
3,4,0.01,1000000,124999,3396451,3,2536,1999,0,3842191329
4,6,0.05,100000,49999,5898367,4,4080,339,0,2464552777
9,6,0.1,1000000,499999,3385254,3,2296,199,0,2701614323
8,7,0.1,100000,16666,2451492,3,1440,169,0,2658927813
0,0,0.1,1000000,249999,19793979,11,16944,199,0,2789505219
6,6,0.2,10000,9999,2241130,4,1296,69,0,1265923330
7,0,0.05,10000,9999,757259,10,13832,279,0,3072960245
9,0,0.2,100000,16666,717657,3,1168,84,0,640028957
4,7,0.1,10000,1666,2356418,3,1328,139,0,225968364
2,3,0.05,100000,24999,893624,3,184,345,0,4286043802
3,6,0.2,10000,2499,2236965,3,1296,69,0,2224943365
9,3,0.1,100000,16666,873710,2,184,173,0,4292873276
0,0,0.05,100000,24999,3600023,14,23504,339,0,2764633768
2,0,0.05,10000,1666,748582,7,13832,279,0,3072940488
0,0,0.1,10000,2499,697567,5,7504,139,0,2701762652
9,4,0.1,100000,16666,1873770,3,880,169,0,38258233
0,3,0.05,100000,12499,893460,3,184,345,0,4286727848
7,4,0.1,1000000,499999,1879382,3,912,199,0,2229239635
5,5,0.2,100000,12499,1260667,3,552,84,0,3725939207
7,6,0.05,100000,12499,5860972,4,4080,339,0,2464469397
5,5,0.01,10000,2499,3832984,4,2696,1399,0,1355142375
9,4,0.1,10000,9999,1564305,2,648,139,0,4184261314
7,7,0.05,1000000,999999,4565626,3,3304,399,0,536146080
6,0,0.01,10000,9999,891190,20,31856,1399,0,1033923898
4,3,0.2,10000,9999,808872,2,144,73,0,4288169088
4,0,0.2,10000,4999,631226,3,952,69,0,3595136577
4,4,0.01,100000,12499,4154662,5,2752,1699,0,2135510547
9,3,0.1,1000000,166666,902519,3,192,203,0,4274717437
0,6,0.05,1000000,124999,5964533,4,4424,399,0,2473761991
8,5,0.1,10000,1666,1886747,4,856,139,0,278899838
6,4,0.01,100000,12499,4192677,3,2752,1699,0,2135510547
4,5,0.1,1000000,999999,2106702,3,1080,199,0,3285524137
2,6,0.2,100000,16666,2584195,3,1368,84,0,1903624183
2,4,0.2,10000,4999,1157362,3,464,69,0,3100214687
7,3,0.05,100000,24999,885632,3,184,345,0,4286043802
9,0,0.1,10000,4999,696275,6,7504,139,0,2701768516
2,7,0.01,10000,2499,9894671,6,8864,1399,0,2878313896
0,4,0.01,1000000,166666,3433118,4,2536,1999,0,2095831981
3,3,0.05,10000,2499,815366,3,144,285,0,4292629308
3,4,0.2,10000,1249,1148248,2,464,69,0,3509225085
0,7,0.05,1000000,999999,4557289,5,3304,399,0,536146080
7,4,0.01,1000000,124999,3387706,3,2536,1999,0,3842191329
1,3,0.2,10000,1666,804232,2,144,73,0,4288113703
1,7,0.01,100000,24999,17728826,7,13880,1699,0,215826547
1,4,0.05,1000000,166666,1794557,3,1040,399,0,3238306693
3,6,0.05,10000,2499,4497799,3,3216,279,0,3986180193
9,3,0.05,1000000,166666,911578,2,208,404,0,4287243515
3,6,0.01,10000,1249,22502372,6,15824,1399,0,268934200
2,3,0.1,10000,1249,855405,2,160,144,0,4294262983
7,3,0.01,10000,9999,835890,3,160,1405,0,4293786243
